source_icd_id	source_icd_name	destination_icd_id	destination_icd_name	relationship_type	relationship_id
B02.9	带状疱疹不伴有并发症	B01.9	水痘不伴有并发症	After	2950170021
B94.8	其他特指传染病和寄生虫病的后遗症	A49.9	未特指的细菌性感染	After	6804636027
G93.0	大脑囊肿	T14.9	未特指的损伤	After	4797919027
B94.8	其他特指传染病和寄生虫病的后遗症	B33.8	其他特指的病毒性疾病	After	6806931022
B90.9	呼吸道结核和未特指结核的后遗症	A16.9	未特指的呼吸道结核,未提及细菌学或组织学的证实	After	2568360028
B90.9	呼吸道结核和未特指结核的后遗症	A16.2	肺结核,未提及细菌学或组织学的证实	After	2947603028
B90.0	中枢神经系统结核的后遗症	A16.9	未特指的呼吸道结核,未提及细菌学或组织学的证实	After	2568361029
B90.2	骨和关节结核的后遗症	A16.9	未特指的呼吸道结核,未提及细菌学或组织学的证实	After	2568363026
B94.2	病毒性肝炎的后遗症	B19.9	未特指的病毒性肝炎,不伴有肝昏迷	After	2568365022
E64.9	未特指的营养缺乏后遗症	E63.9	未特指的营养缺乏	After	2568495029
E64.1	维生素A缺乏后遗症	E50.9	未特指的维生素A缺乏病	After	2568497021
I01.2	急性风湿性心肌炎	A49.1	未特指部位的链球菌感染	After	2568652020
M43.6	斜颈	S13.4	颈椎扭伤和劳损	After	6890306022
B90.1	泌尿生殖系结核的后遗症	A16.9	未特指的呼吸道结核,未提及细菌学或组织学的证实	After	2568362020
Q82.8	皮肤的其他特指先天性畸形	T78.4	未特指的变态反应	After	4711721028
P52.9	胎儿和新生儿未特指的颅内(非创伤性)出血	I62.9	未特指的颅内出血(非创伤性)	After	2751522027
T92.4	上肢神经损伤后遗症	S44.9	在肩和上臂水平的未特指神经的损伤	After	11574587029
I50.0	充血性心力衰竭	A49.1	未特指部位的链球菌感染	After	2602428020
T91.3	脊髓损伤后遗症	T09.3	脊髓损伤,水平未特指	After	2602292025
L21.9	未特指的脂溢性皮炎	G04.9	未特指的脑炎、脊髓炎和脑脊髓炎	After	2615201026
I05.2	二尖瓣狭窄伴有关闭不全	A49.1	未特指部位的链球菌感染	After	2601783026
T91.5	腹内和盆腔器官损伤后遗症	S39.6	腹内器官伴有盆腔器官的损伤	After	9562858024
T95.9	未特指的烧伤、腐蚀伤和冻伤后遗症	T30.0	身体未特指部位的烧伤,程度未特指	After	3374285023
M16.4	创伤后双侧髋关节病	S79.9	髋和大腿未特指的损伤	After	2615269027
M17.2	创伤后双侧膝关节病	S89.9	小腿未特指的损伤	After	2615270026
I06.1	风湿性主动脉瓣关闭不全	A49.1	未特指部位的链球菌感染	After	2601656021
R56.8	其他和未特指的惊厥	S09.9	头部未特指的损伤	After	3535271021
H05.5	眼眶贯通伤后残留(陈旧性)异物	S05.4	眶贯通伤伴有或不伴有异物	After	2601187024
H26.1	外伤性白内障	T14.9	未特指的损伤	After	11569142020
G83.1	下肢单瘫	I67.9	未特指的脑血管病	After	3584300025
I06.0	风湿性主动脉瓣狭窄	A49.1	未特指部位的链球菌感染	After	2600674023
L94.2	皮肤钙质沉着症	L70.9	未特指的痤疮	After	2640588026
N00.9	急性肾炎综合征,未特指	A49.1	未特指部位的链球菌感染	After	2600110021
I07.1	三尖瓣关闭不全	A49.1	未特指部位的链球菌感染	After	2599964027
B94.8	其他特指传染病和寄生虫病的后遗症	J98.8	其他特指的呼吸性疾患	After	3786249023
T94.1	损伤后遗症,未按身体部位特指者	T65.9	未特指物质的毒性效应	After	11575628024
I01.8	其他急性风湿性心脏病	A49.1	未特指部位的链球菌感染	After	2599338028
B90.9	呼吸道结核和未特指结核的后遗症	A16.7	原发性呼吸道结核,未提及细菌学或组织学的证实	After	9618124023
I69.1	脑内出血后遗症	I63.9	未特指的脑梗死	After	9314006021
I05.9	未特指的二尖瓣疾病	A49.1	未特指部位的链球菌感染	After	2602657026
I51.8	其他不明确的心脏病	I33.0	急性和亚急性感染性心内膜炎	After	9532482029
E23.6	其他垂体疾患	P15.9	未特指的产伤	After	2614450027
E23.0	垂体功能减退症	I21.9	未特指的急性心肌梗死	After	2614451028
E64.3	佝偻病后遗症	E63.9	未特指的营养缺乏	After	2614454020
D82.3	EB病毒遗传缺陷反应后的免疫缺陷	B27.0	γ疱疹病毒性单核细胞增多症	After	2614461024
T90.4	眼和眶损伤后遗症	S05.9	眼和眶未特指的损伤	After	3786906026
Z87.1	消化系统疾病个人史	K76.9	未特指的肝病	After	3787149022
T91.9	颈部和躯干未特指损伤的后遗症	S39.9	腹部、下背和骨盆未特指的损伤	After	3522716023
I07.0	三尖瓣狭窄	A49.1	未特指部位的链球菌感染	After	2603436023
F32.8	其他抑郁发作	B34.9	未特指的病毒性感染	After	2614503023
I05.0	二尖瓣狭窄	A49.1	未特指部位的链球菌感染	After	2603095026
Y87.1	"加害的后遗症	"	T14.9	未特指的损伤	After	9447984022
H21.3	虹膜睫状体和前房囊肿	T14.9	未特指的损伤	After	9363853028
I07.2	三尖瓣狭窄伴有关闭不全	A49.1	未特指部位的链球菌感染	After	2614690022
H26.8	其他特指的白内障	T14.9	未特指的损伤	After	9358244027
I23.1	房间隔缺损作为急性心肌梗死后的近期并发症	I21.9	未特指的急性心肌梗死	After	2614699023
H81.4	中枢性眩晕	S19.9	颈部未特指的损伤	After	2602803020
I23.3	心壁破裂不伴有心包积血作为急性心肌梗死后的近期并发症	I21.9	未特指的急性心肌梗死	After	2614700024
I23.4	腱索断裂作为急性心肌梗死后的近期并发症	I21.9	未特指的急性心肌梗死	After	2614701023
H61.3	后天性外耳道狭窄	S09.9	头部未特指的损伤	After	9320696024
I23.6	心房、心耳和心室的血栓形成作为急性心肌梗死后的近期并发症	I21.9	未特指的急性心肌梗死	After	2614703021
K75.0	肝脓肿	K76.9	未特指的肝病	After	3775927024
T90.5	颅内损伤后遗症	T14.9	未特指的损伤	After	3242877027
B94.8	其他特指传染病和寄生虫病的后遗症	B34.9	未特指的病毒性感染	After	2617391022
I24.1	德雷斯勒综合征	I21.9	未特指的急性心肌梗死	After	2599718027
I07.9	未特指的三尖瓣疾病	A49.1	未特指部位的链球菌感染	After	2597041023
T95.9	未特指的烧伤、腐蚀伤和冻伤后遗症	T14.9	未特指的损伤	After	3237084028
H26.2	并发性白内障	H40.0	可疑青光眼	After	11573152025
T94.0	涉及多个身体部位损伤的后遗症	T14.9	未特指的损伤	After	3230957029
C84.5	其他和未特指的T细胞淋巴瘤	B27.0	γ疱疹病毒性单核细胞增多症	After	9132146024
B94.8	其他特指传染病和寄生虫病的后遗症	B01.9	水痘不伴有并发症	After	2640769020
G81.9	未特指的偏瘫	I67.9	未特指的脑血管病	After	3580568026
G83.2	上肢单瘫	I67.9	未特指的脑血管病	After	3581535025
Q84.8	体被的其他特指先天性畸形	N71.9	"子宫未特指的炎性疾病	"	After	2641034024
I69.1	脑内出血后遗症	I61.9	未特指的脑内出血	After	3238754029
O72.2	"延迟性和继发性产后出血	"	O72.1	"其他的即刻产后出血	"	After	2596155024
G97.8	神经系统的其他操作后疾患	G93.1	缺氧性脑损害,不可归类在他处者	After	2595629027
G95.0	脊髓空洞症和延髓空洞症	T09.3	脊髓损伤,水平未特指	After	2637737026
F07.1	脑炎后综合征	G04.9	未特指的脑炎、脊髓炎和脑脊髓炎	After	2595623026
L73.0	瘢瘤性痤疮	L70.9	未特指的痤疮	After	2640928024
T90.2	颅骨和面骨骨折后遗症	S09.9	头部未特指的损伤	After	2595048029
T93.2	下肢其他骨折的后遗症	T13.9	下肢未特指的损伤,水平未特指	After	2594891028
N50.8	"男性生殖器官其他特指的疾患	"	S39.9	腹部、下背和骨盆未特指的损伤	After	3593660029
T90.3	脑神经损伤后遗症	S04.9	未特指的脑神经损伤	After	2594855024
D57.0	镰状细胞性贫血伴有危象	D57.1	镰状细胞性贫血不伴有危象	After	2637731025
N93.0	"性交后出血和接触性出血	"	N95.1	"绝经期和女性更年期状态	"	After	11577543029
B94.9	未特指的传染病或寄生虫病的后遗症	B34.9	未特指的病毒性感染	After	2594728022
T93.4	下肢神经损伤后遗症	T13.3	下肢未特指神经的损伤,水平未特指	After	11570904022
S46.0	肩回旋套肌腱损伤	T14.9	未特指的损伤	After	3241832027
G04.8	其他脑炎、脊髓炎和脑脊髓炎	B34.9	未特指的病毒性感染	After	10648357027
M12.5	创伤性关节病	T14.9	未特指的损伤	After	3240214026
I02.0	风湿性舞蹈症伴有心脏受累	A49.1	未特指部位的链球菌感染	After	2598326025
I09.2	慢性风湿性心包炎	A49.1	未特指部位的链球菌感染	After	2598109028
L90.5	皮肤瘢痕情况和纤维化	L08.9	皮肤和皮下组织未特指的局部感染	After	2640641020
T92.4	上肢神经损伤后遗症	T11.3	上肢未特指神经的损伤,水平未特指	After	11574609024
O03.8	"自然流产,完全性或未特指,伴有其他和未特指的并发症	"	O03.9	"自然流产,完全性或未特指,无并发症	"	After	2619117020
P61.3	胎儿失血所致的先天性贫血	P50.9	未特指的胎儿失血	After	2597698026
P11.0	产伤引起的脑水肿	T14.9	未特指的损伤	After	10622611024
G93.3	病毒感染后疲劳综合征	B34.9	未特指的病毒性感染	After	2597371020
I05.1	风湿性二尖瓣关闭不全	A49.1	未特指部位的链球菌感染	After	2593925023
H53.8	其他的视觉障碍	I67.9	未特指的脑血管病	After	3583053022
T98.2	创伤的某些早期并发症的后遗症	T14.9	未特指的损伤	After	3239431025
N95.0	"绝经后出血	"	N95.1	"绝经期和女性更年期状态	"	After	11574711024
G93.1	缺氧性脑损害,不可归类在他处者	I46.9	未特指的心脏停搏	After	2619133023
T94.1	损伤后遗症,未按身体部位特指者	T14.9	未特指的损伤	After	3224965025
A50.5	有症状的其他晚期先天性梅毒	A50.9	未特指的先天性梅毒	After	3601909024
L90.5	皮肤瘢痕情况和纤维化	B02.9	带状疱疹不伴有并发症	After	2640946029
Z86.6	神经系统和感觉器官疾病个人史	H35.8	视网膜其他特指的疾患	Associated finding	11539867028
Z86.0	其他肿瘤个人史	D36.1	周围神经和自主神经系统良性肿瘤	Associated finding	11418430021
Z86.7	循环系统疾病个人史	I74.9	未特指动脉的栓塞和血栓形成	Associated finding	11533877020
Z87.1	消化系统疾病个人史	K62.6	肛门和直肠溃疡	Associated finding	11546769023
Z86.6	神经系统和感觉器官疾病个人史	H47.0	视神经疾患,不可归类在他处者	Associated finding	11433832029
Z87.7	先天性畸形、变形和染色体异常个人史	Q79.3	腹裂	Associated finding	11537204020
Z86.6	神经系统和感觉器官疾病个人史	H35.6	视网膜出血	Associated finding	11538654024
Z91.8	其他特指危险因素个人史,不可归类在他处者	Y07.9	"被未特指人员虐待,未特指场所	"	Associated finding	11537234026
Z86.5	其他精神和行为障碍个人史	F05.9	未特指的谵妄	Associated finding	11537296026
Z86.6	神经系统和感觉器官疾病个人史	H02.4	上睑下垂	Associated finding	11543346028
Z86.1	传染病和寄生虫病个人史	A92.8	其他特指的蚊媒介的病毒性发热	Associated finding	11537298025
Z86.6	神经系统和感觉器官疾病个人史	H16.0	角膜溃疡	Associated finding	11540362024
Z87.0	呼吸系统疾病个人史	J38.5	喉痉挛	Associated finding	11537159028
Z92.4	大手术个人史,不可归类在他处者	Q24.9	未特指的先天性心脏畸形	Associated finding	4776861021
Z82.4	缺血性心脏病和其他循环系统疾病家族史	I63.9	未特指的脑梗死	Associated finding	11533896024
O35.0	"为胎儿(可疑)中枢神经系统畸形给予的孕产妇医疗	"	Q05.9	未特指的脊柱裂	Associated finding	3437473025
Z87.1	消化系统疾病个人史	K28.9	胃空肠溃疡未特指为急性或慢性,不伴有出血或穿孔	Associated finding	11533913027
Z87.5	妊娠、分娩和产褥期并发症个人史	P08.0	特大婴儿	Associated finding	6490664023
Z91.6	其他身体创伤个人史	G93.1	缺氧性脑损害,不可归类在他处者	Associated finding	11537029020
Z87.1	消化系统疾病个人史	K70.1	酒精性肝炎	Associated finding	11533967022
Z86.7	循环系统疾病个人史	I63.4	大脑动脉栓塞引起的脑梗死	Associated finding	11534006020
Z85.4	生殖器官恶性肿瘤个人史	C63.9	未特指的男性生殖器官恶性肿瘤	Associated finding	4742430027
Z80.4	生殖器官恶性肿瘤家族史	D40.9	男性生殖器官未特指的动态未定或动态未知的肿瘤	Associated finding	4739112028
Z86.0	其他肿瘤个人史	D17.9	未特指的良性脂肪瘤样肿瘤	Associated finding	11534156029
Z86.1	传染病和寄生虫病个人史	B02.3	带状疱疹眼病	Associated finding	11534013020
Z91.6	其他身体创伤个人史	S05.9	眼和眶未特指的损伤	Associated finding	11534014025
Z84.8	其他特指情况家族史	O75.2	"产程期间发热,不可归类在他处者	"	Associated finding	11438634029
Z87.1	消化系统疾病个人史	K62.5	肛门和直肠出血	Associated finding	11546984022
Z86.6	神经系统和感觉器官疾病个人史	H35.3	黄斑和后极变性	Associated finding	11534021025
Z86.6	神经系统和感觉器官疾病个人史	H35.5	遗传性视网膜变性	Associated finding	11534036027
Z86.6	神经系统和感觉器官疾病个人史	H15.1	巩膜外层炎	Associated finding	11534045026
Z86.6	神经系统和感觉器官疾病个人史	H21.0	前房积血	Associated finding	11541723024
Z86.6	神经系统和感觉器官疾病个人史	H34.2	其他视网膜动脉阻塞	Associated finding	11537079023
Z86.6	神经系统和感觉器官疾病个人史	H35.1	早产儿视网膜病	Associated finding	11533964026
Z86.7	循环系统疾病个人史	I62.9	未特指的颅内出血(非创伤性)	Associated finding	11533865026
Z87.1	消化系统疾病个人史	K22.2	食管梗阻	Associated finding	11533904029
O35.0	"为胎儿(可疑)中枢神经系统畸形给予的孕产妇医疗	"	Q03.9	未特指的先天性脑积水	Associated finding	3419499021
Z86.7	循环系统疾病个人史	I67.1	脑动脉瘤,未破裂	Associated finding	11533854020
Z87.3	肌肉骨骼系统和结缔组织疾病个人史	M30.3	粘膜皮肤淋巴结综合征[川崎病]	Associated finding	11548463025
Z86.6	神经系统和感觉器官疾病个人史	H43.8	玻璃体的其他疾患	Associated finding	11438719027
Z86.6	神经系统和感觉器官疾病个人史	H50.9	未特指的斜视	Associated finding	11225968026
Z86.0	其他肿瘤个人史	D06.9	宫颈未特指的原位癌	Associated finding	11548486021
Z86.2	血液和造血器官疾病和某些涉及免疫机制的疾患个人史	D69.6	未特指的血小板减少	Associated finding	11226121026
Z86.0	其他肿瘤个人史	D13.2	十二指肠良性肿瘤	Associated finding	11548757022
A41.0	金黄色葡萄球菌性败血症	A41.9	未特指的脓毒病	Associated with	6019936026
M31.9	坏死性血管病	M35.9	结缔组织系统性受累	Associated with	2755111029
D82.8	与其他特指的严重缺陷有关的免疫缺陷	E88.9	未特指的代谢紊乱	Associated with	2755072026
G93.8	脑其他特指的疾患	N18.9	"未特指的慢性肾衰竭	"	Associated with	2786898020
R56.0	发热性惊厥	R50.9	未特指的发热	Associated with	2783848028
T79.5	创伤性无尿症	T14.9	未特指的损伤	Associated with	2786438026
L44.0	毛发红糠疹	L98.9	皮肤和皮下组织未特指的疾患	Associated with	2755006029
L44.1	光泽苔癣	L98.9	皮肤和皮下组织未特指的疾患	Associated with	2755015020
T79.9	创伤未特指的早期并发症	T14.9	未特指的损伤	Associated with	2786390020
D86.9	未特指的结节病	L98.9	皮肤和皮下组织未特指的疾患	Associated with	2755024027
D69.5	继发性血小板减少	E88.9	未特指的代谢紊乱	Associated with	2785285025
L44.2	条纹状苔癣	L98.9	皮肤和皮下组织未特指的疾患	Associated with	2755016021
E03.5	粘液性水肿昏迷	E03.9	未特指的甲状腺功能减退症	Associated with	2786333020
A40.0	A族链球菌性脓毒病	A41.9	未特指的脓毒病	Associated with	6019959021
N17.0	"急性肾衰竭伴有肾小管坏死	"	T14.9	未特指的损伤	Associated with	2779173025
L60.3	甲营养不良	L98.9	皮肤和皮下组织未特指的疾患	Associated with	2755022028
T56.8	其他金属的毒性效应	R50.9	未特指的发热	Associated with	3587240026
D68.6	其他血栓形成倾向	M32.9	系统性红斑狼疮	Associated with	2755198023
E83.5	钙代谢紊乱	L93.2	其他的局限性红斑狼疮	Associated with	2755437020
T79.1	脂肪栓塞(创伤性)	T14.9	未特指的损伤	Associated with	2778824029
A02.1	沙门菌脓毒病	A41.9	未特指的脓毒病	Associated with	6207561024
M34.8	其他形式的全身性硬皮病	M34.9	全身性硬皮病	Associated with	2755459022
