icd_id	icd_name	another_sctid	another_sct_term_cn	another_sct_term	relationship_type	icd_where
Z86.0	其他肿瘤个人史	189948006	神经鞘瘤	Neurilemmoma	Associated finding	source
H02.4	上睑下垂	16880931000119102	眼睑下垂病史	History of eyelid ptosis	Associated finding	destination
H21.0	前房积血	15627801000119104	前房积血病史(情况)	History of hyphema (situation)	Associated finding	destination
N05.9	"未特指的肾炎综合征,未特指	"	1081901000112109	怀疑肾小球肾炎(情况)	Glomerulonephritis suspected (situation)	Associated finding	destination
H16.0	角膜溃疡	15647891000119108	角膜糜烂史(情况)	History of corneal erosion (situation)	Associated finding	destination
H35.8	视网膜其他特指的疾患	13016311000119104	视网膜水肿病史	History of retinal oedema	Associated finding	destination
H47.0	视神经疾患,不可归类在他处者	16093711000119100	前部缺血性视神经病变史	History of anterior ischaemic optic neuropathy	Associated finding	destination
Z86.6	神经系统和感觉器官疾病个人史	28998008	视网膜出血(障碍)	Retinal hemorrhage (disorder)	Associated finding	source
H15.1	巩膜外层炎	15912951000119101	外侧巩膜炎病史(情况)	History of episcleritis (situation)	Associated finding	destination
H53.0	失用性弱视	16698001000119102	怀疑右眼弱视	Suspected amblyopia of right eye (situation)	Associated finding	destination
T14.0	身体未特指部位的浅表损伤	787774005	怀疑表浅异物(情况)	Suspected superficial foreign body (situation)	Associated finding	destination
T18.9	消化道未特指部位内异物	787772009	怀疑吞食异物	Suspected swallowed foreign body	Associated finding	destination
T17.9	呼吸道未特指部位内异物	787773004	唿吸道怀疑有异物(情况)	Suspected foreign body in respiratory tract (situation)	Associated finding	destination
O35.0	"为胎儿(可疑)中枢神经系统畸形给予的孕产妇医疗	"	783726006	胎儿脑积水	Foetal hydrocephalus	Associated finding	source
O35.0	"为胎儿(可疑)中枢神经系统畸形给予的孕产妇医疗	"	783724009	胎儿脊柱裂(疾病)	Fetal spina bifida (disorder)	Associated finding	source
H35.5	遗传性视网膜变性	16535611000119102	视网膜色素变性的历史	History of retinitis pigmentosa	Associated finding	destination
D17.9	未特指的良性脂肪瘤样肿瘤	16900351000119101	脂肪瘤病史(情况)	History of lipoma (situation)	Associated finding	destination
A92.8	其他特指的蚊媒介的病毒性发热	16468501000119108	兹卡热的历史(情况)	History of Zika virus infection (situation)	Associated finding	destination
K62.6	肛门和直肠溃疡	16089171000119106	直肠溃疡病史	History of ulcer of rectum	Associated finding	destination
I63.9	未特指的脑梗死	16896891000119106	缺血性中风病史	History of cerebrovascular accident due to ischemia (situation)	Associated finding	destination
H53.0	失用性弱视	16697921000119109	怀疑双眼弱视(情况)	Suspected amblyopia of bilateral eyes (situation)	Associated finding	destination
K22.2	食管梗阻	16915451000119104	食管狭窄病史	History of stricture of oesophagus	Associated finding	destination
K70.1	酒精性肝炎	16912131000119107	酒精性肝炎的历史	History of alcoholic hepatitis	Associated finding	destination
H35.1	早产儿视网膜病	16519911000119101	早产儿视网膜病史(情况)	History of retinopathy of prematurity (situation)	Associated finding	destination
K28.9	胃空肠溃疡未特指为急性或慢性,不伴有出血或穿孔	16089211000119108	胃空肠溃疡病史(情况)	History of gastrojejunal ulcer (situation)	Associated finding	destination
J38.5	喉痉挛	16410191000119105	喉痉挛史	History of laryngospasm	Associated finding	destination
H34.2	其他视网膜动脉阻塞	16279641000119107	视网膜分支动脉阻塞病史(情况)	History of occlusion of branch retinal artery (situation)	Associated finding	destination
Z82.6	关节炎和肌肉骨骼系统和结缔组织其他疾病家族史	240008008	腘窝滑膜囊肿	Synovial cyst of popliteal space	Associated finding	source
R40.2	未特指的昏迷	16775181000119103	昏迷史(情况)	History of coma (situation)	Associated finding	destination
H53.0	失用性弱视	16697961000119104	怀疑左眼弱视	Suspected amblyopia of left eye (situation)	Associated finding	destination
S61.0	手指开放性伤口不伴有指甲损害	783710005	浅表撕裂伤	Superficial laceration	Associated morphology	source
D33.3	脑神经良性肿瘤	253086004	细胞性神经鞘瘤	Cellular neurilemmoma	Associated morphology	source
Q20.8	心腔和心连接其他的先天性畸形	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q20.8	心腔和心连接其他的先天性畸形	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q20.8	心腔和心连接其他的先天性畸形	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q20.8	心腔和心连接其他的先天性畸形	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q20.0	共同动脉干	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q20.5	房室连接不协调	783804002	不正常的交流	Abnormal communication	Associated morphology	source
L72.2	多发性皮脂腺囊肿	784048001	脂肪细胞瘤(形态学异常)	Steatocystomas (morphologic abnormality)	Associated morphology	source
L91.8	皮肤其他的肥厚性疾患	786907004	多发性纤维上皮息肉(形态异常)	Multiple fibroepithelial polyps (morphologic abnormality)	Associated morphology	source
S05.9	眼和眶未特指的损伤	787518000	闭合性钝器伤	Closed blunt force injury	Associated morphology	source
L57.0	光线性角化病	786035003	多发性光化性角化病	Multiple actinic keratoses	Associated morphology	source
D36.1	周围神经和自主神经系统良性肿瘤	985004	神经鞘瘤(形态学异常)	Schwannoma (morphologic abnormality)	Associated morphology	source
Q20.8	心腔和心连接其他的先天性畸形	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q20.0	共同动脉干	783804002	不正常的交流	Abnormal communication	Associated morphology	source
D22.9	未特指的黑素细胞痣	787085004	棘突溶解性表皮痣(形态异常)	Acantholytic epidermal nevus (morphologic abnormality)	Associated morphology	source
Q20.0	共同动脉干	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q20.3	心室动脉连接不协调	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q20.8	心腔和心连接其他的先天性畸形	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q20.8	心腔和心连接其他的先天性畸形	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q20.3	心室动脉连接不协调	783804002	不正常的交流	Abnormal communication	Associated morphology	source
D36.1	周围神经和自主神经系统良性肿瘤	985004	神经鞘瘤(形态学异常)	Schwannoma (morphologic abnormality)	Associated morphology	source
Q20.8	心腔和心连接其他的先天性畸形	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q20.5	房室连接不协调	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q20.8	心腔和心连接其他的先天性畸形	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q24.9	未特指的先天性心脏畸形	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q20.8	心腔和心连接其他的先天性畸形	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q20.8	心腔和心连接其他的先天性畸形	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q24.8	心脏其他特指的先天性畸形	783804002	不正常的交流	Abnormal communication	Associated morphology	source
D36.1	周围神经和自主神经系统良性肿瘤	985004	神经鞘瘤(形态学异常)	Schwannoma (morphologic abnormality)	Associated morphology	source
Q20.5	房室连接不协调	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q20.0	共同动脉干	783804002	不正常的交流	Abnormal communication	Associated morphology	source
H44.7	眼内残留(陈旧性)非磁性异物	786984008	残留的非磁性异物	Retained nonmagnetic foreign body	Associated morphology	source
Q18.2	其他的鳃裂畸形	785762005	鳃囊肿	Branchial cyst	Associated morphology	source
Q20.3	心室动脉连接不协调	783804002	不正常的交流	Abnormal communication	Associated morphology	source
D36.1	周围神经和自主神经系统良性肿瘤	985004	神经鞘瘤(形态学异常)	Schwannoma (morphologic abnormality)	Associated morphology	source
H44.7	眼内残留(陈旧性)非磁性异物	786984008	残留的非磁性异物	Retained nonmagnetic foreign body	Associated morphology	source
S91.0	踝开放性伤口	783710005	浅表撕裂伤	Superficial laceration	Associated morphology	source
Q20.8	心腔和心连接其他的先天性畸形	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q20.8	心腔和心连接其他的先天性畸形	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q20.3	心室动脉连接不协调	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q21.0	室间隔缺损	783804002	不正常的交流	Abnormal communication	Associated morphology	source
O70.0	"分娩时Ⅰ度会阴裂伤	"	783727002	一度撕裂(形态学异常)	First degree laceration (morphologic abnormality)	Associated morphology	source
Q85.0	神经纤维瘤病(非恶性)	985004	神经鞘瘤(形态学异常)	Schwannoma (morphologic abnormality)	Associated morphology	source
T14.1	身体未特指部位的开放性伤口	784358006	深深的刺伤	Deep stab wound	Associated morphology	source
Q20.1	右心室双出口	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q20.0	共同动脉干	783804002	不正常的交流	Abnormal communication	Associated morphology	source
S80.9	小腿未特指的浅表损伤	783710005	浅表撕裂伤	Superficial laceration	Associated morphology	source
T11.1	上肢开放性伤口,水平未特指	783710005	浅表撕裂伤	Superficial laceration	Associated morphology	source
T14.0	身体未特指部位的浅表损伤	785852005	深度挫伤	Deep contusion	Associated morphology	source
Q32.4	支气管的其他先天性畸形	783804002	不正常的交流	Abnormal communication	Associated morphology	source
S01.9	头部部位未特指的开放性伤口	783710005	浅表撕裂伤	Superficial laceration	Associated morphology	source
G93.0	大脑囊肿	785284009	蛛网膜囊肿	Arachnoid cyst	Associated morphology	source
Q20.1	右心室双出口	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q20.3	心室动脉连接不协调	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q20.5	房室连接不协调	783804002	不正常的交流	Abnormal communication	Associated morphology	source
L57.0	光线性角化病	786035003	多发性光化性角化病	Multiple actinic keratoses	Associated morphology	source
H44.7	眼内残留(陈旧性)非磁性异物	786984008	残留的非磁性异物	Retained nonmagnetic foreign body	Associated morphology	source
T14.1	身体未特指部位的开放性伤口	784357001	深裂伤(形态学异常)	Deep laceration (morphologic abnormality)	Associated morphology	source
L40.8	其他的银屑病	787087007	炎性表皮痣	Inflammatory epidermal nevus	Associated morphology	source
Q20.5	房室连接不协调	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q20.4	双入口心室	783804002	不正常的交流	Abnormal communication	Associated morphology	source
D36.1	周围神经和自主神经系统良性肿瘤	985004	神经鞘瘤(形态学异常)	Schwannoma (morphologic abnormality)	Associated morphology	source
S01.8	头部其他部位的开放性伤口	783710005	浅表撕裂伤	Superficial laceration	Associated morphology	source
L57.0	光线性角化病	786035003	多发性光化性角化病	Multiple actinic keratoses	Associated morphology	source
S05.0	结合膜损伤和角膜擦伤,未提及异物	783710005	浅表撕裂伤	Superficial laceration	Associated morphology	source
L91.8	皮肤其他的肥厚性疾患	786907004	多发性纤维上皮息肉(形态异常)	Multiple fibroepithelial polyps (morphologic abnormality)	Associated morphology	source
T13.0	下肢浅表损伤,水平未特指	783710005	浅表撕裂伤	Superficial laceration	Associated morphology	source
T14.1	身体未特指部位的开放性伤口	783710005	浅表撕裂伤	Superficial laceration	Associated morphology	source
Q04.6	先天性大脑囊肿	785284009	蛛网膜囊肿	Arachnoid cyst	Associated morphology	source
Q21.4	主动脉肺动脉间隔缺损	783804002	不正常的交流	Abnormal communication	Associated morphology	source
L91.8	皮肤其他的肥厚性疾患	786907004	多发性纤维上皮息肉(形态异常)	Multiple fibroepithelial polyps (morphologic abnormality)	Associated morphology	source
D22.9	未特指的黑素细胞痣	787085004	棘突溶解性表皮痣(形态异常)	Acantholytic epidermal nevus (morphologic abnormality)	Associated morphology	source
S61.0	手指开放性伤口不伴有指甲损害	783710005	浅表撕裂伤	Superficial laceration	Associated morphology	source
S71.0	髋开放性伤口	783710005	浅表撕裂伤	Superficial laceration	Associated morphology	source
T14.1	身体未特指部位的开放性伤口	783710005	浅表撕裂伤	Superficial laceration	Associated morphology	source
S91.3	足的其他部位的开放性伤口	783710005	浅表撕裂伤	Superficial laceration	Associated morphology	source
S21.2	胸后壁开放性伤口	783710005	浅表撕裂伤	Superficial laceration	Associated morphology	source
D22.9	未特指的黑素细胞痣	787085004	棘突溶解性表皮痣(形态异常)	Acantholytic epidermal nevus (morphologic abnormality)	Associated morphology	source
S51.0	肘开放性伤口	783710005	浅表撕裂伤	Superficial laceration	Associated morphology	source
S61.1	手指开放性伤口伴有指甲损害	783710005	浅表撕裂伤	Superficial laceration	Associated morphology	source
Q20.8	心腔和心连接其他的先天性畸形	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q20.0	共同动脉干	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q20.0	共同动脉干	783804002	不正常的交流	Abnormal communication	Associated morphology	source
S61.9	腕和手部位未特指的开放性伤口	783710005	浅表撕裂伤	Superficial laceration	Associated morphology	source
Q18.0	鳃裂窦、瘘和囊肿	785762005	鳃囊肿	Branchial cyst	Associated morphology	source
Q18.0	鳃裂窦、瘘和囊肿	785762005	鳃囊肿	Branchial cyst	Associated morphology	source
L91.8	皮肤其他的肥厚性疾患	786907004	多发性纤维上皮息肉(形态异常)	Multiple fibroepithelial polyps (morphologic abnormality)	Associated morphology	source
L91.8	皮肤其他的肥厚性疾患	786907004	多发性纤维上皮息肉(形态异常)	Multiple fibroepithelial polyps (morphologic abnormality)	Associated morphology	source
Q18.0	鳃裂窦、瘘和囊肿	785763000	鳃瘘(形态学异常)	Branchial fistula (morphologic abnormality)	Associated morphology	source
Q21.0	室间隔缺损	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q20.3	心室动脉连接不协调	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q55.8	男性生殖器官其他特指的先天性畸形	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q21.4	主动脉肺动脉间隔缺损	783804002	不正常的交流	Abnormal communication	Associated morphology	source
L57.0	光线性角化病	786035003	多发性光化性角化病	Multiple actinic keratoses	Associated morphology	source
Q20.8	心腔和心连接其他的先天性畸形	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q01.9	未特指的脑膨出	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q24.8	心脏其他特指的先天性畸形	783804002	不正常的交流	Abnormal communication	Associated morphology	source
S01.9	头部部位未特指的开放性伤口	785702007	鱼钩异物	Fishing hook foreign body	Associated morphology	source
Q20.0	共同动脉干	783804002	不正常的交流	Abnormal communication	Associated morphology	source
S91.1	趾开放性伤口不伴有趾甲损坏	785702007	鱼钩异物	Fishing hook foreign body	Associated morphology	source
Q74.8	四肢的其他特指先天性畸形	785817002	屈曲挛缩	Flexion contracture	Associated morphology	source
S91.1	趾开放性伤口不伴有趾甲损坏	783710005	浅表撕裂伤	Superficial laceration	Associated morphology	source
Q18.0	鳃裂窦、瘘和囊肿	785764006	鳃窦	Branchial sinus	Associated morphology	source
Q18.0	鳃裂窦、瘘和囊肿	785762005	鳃囊肿	Branchial cyst	Associated morphology	source
Q21.0	室间隔缺损	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q18.0	鳃裂窦、瘘和囊肿	785762005	鳃囊肿	Branchial cyst	Associated morphology	source
O70.2	"分娩时Ⅲ度会阴裂伤	"	783747005	三度撕裂(形态学异常)	Third degree laceration (morphologic abnormality)	Associated morphology	source
S31.8	腹部其他和未特指部位的开放性伤口	785702007	鱼钩异物	Fishing hook foreign body	Associated morphology	source
Q21.0	室间隔缺损	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q18.0	鳃裂窦、瘘和囊肿	785764006	鳃窦	Branchial sinus	Associated morphology	source
Q18.0	鳃裂窦、瘘和囊肿	785763000	鳃瘘(形态学异常)	Branchial fistula (morphologic abnormality)	Associated morphology	source
O70.2	"分娩时Ⅲ度会阴裂伤	"	783747005	三度撕裂(形态学异常)	Third degree laceration (morphologic abnormality)	Associated morphology	source
Q20.8	心腔和心连接其他的先天性畸形	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q18.0	鳃裂窦、瘘和囊肿	785764006	鳃窦	Branchial sinus	Associated morphology	source
Q20.4	双入口心室	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q20.5	房室连接不协调	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q20.0	共同动脉干	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q18.0	鳃裂窦、瘘和囊肿	785764006	鳃窦	Branchial sinus	Associated morphology	source
Q18.0	鳃裂窦、瘘和囊肿	785762005	鳃囊肿	Branchial cyst	Associated morphology	source
Q20.8	心腔和心连接其他的先天性畸形	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q25.4	主动脉的其他先天性畸形	783804002	不正常的交流	Abnormal communication	Associated morphology	source
S61.9	腕和手部位未特指的开放性伤口	783710005	浅表撕裂伤	Superficial laceration	Associated morphology	source
O70.2	"分娩时Ⅲ度会阴裂伤	"	783747005	三度撕裂(形态学异常)	Third degree laceration (morphologic abnormality)	Associated morphology	source
Q21.0	室间隔缺损	783804002	不正常的交流	Abnormal communication	Associated morphology	source
H44.7	眼内残留(陈旧性)非磁性异物	786984008	残留的非磁性异物	Retained nonmagnetic foreign body	Associated morphology	source
Q21.8	心间隔的其他先天性畸形	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q24.8	心脏其他特指的先天性畸形	783804002	不正常的交流	Abnormal communication	Associated morphology	source
S01.5	唇和口腔开放性伤口	785702007	鱼钩异物	Fishing hook foreign body	Associated morphology	source
Q34.9	呼吸系统未特指的先天性畸形	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q21.0	室间隔缺损	783804002	不正常的交流	Abnormal communication	Associated morphology	source
S41.0	肩开放性伤口	783710005	浅表撕裂伤	Superficial laceration	Associated morphology	source
Q34.9	呼吸系统未特指的先天性畸形	783804002	不正常的交流	Abnormal communication	Associated morphology	source
Q25.2	主动脉闭锁	783804002	不正常的交流	Abnormal communication	Associated morphology	source
